"V1","V2","V3","V4","V5"
2.06228451914181,-3.28491339801946,0.660422302275877,-2.15263741274382,1.08450282555899
1.78693996106639,-2.14403374024697,-1.20816182269767,-1.46518114660189,1.00174469527864
1.76094589439494,-1.02764523791861,-1.25718151866824,0.876187759836037,0.279491921922827
1.71184599068219,-0.67048255435835,-0.953726257898026,1.67524406918282,-0.0640797098471244
1.15730590169114,-0.458225873842533,-0.934468520195299,0.350551556341158,-0.198875149318912
1.17463527947211,0.0356790942807985,-1.20932895831602,0.793603727864444,-0.459061695276085
1.00326698808251,0.229567408213513,-1.18948765280412,1.03689182205104,-0.734922129543929
0.171456854595937,0.262222282139021,-1.18598624594908,0.601651653552089,-0.688527420144338
0.0848099656910856,-0.723546724487301,-1.6458376795778,0.427555586152509,-0.869090613483292
-0.412607359503432,-0.360261252066008,-1.17781629662065,-0.0731566076932884,-0.371705891091269
-0.360458768958846,0.0479246720028651,-0.541727384621533,0.804763732184931,0.623063553692781
-0.0860769540934821,0.956138353056101,-0.538809545575667,0.481123606890843,-0.251539414042775
-0.273811880053994,0.348961791003657,-0.407506788511628,0.776863721383716,-0.336178410920408
-0.341203904757768,0.649998910004449,0.0243333902767615,0.6317836652174,0.400494339681223
0.623946163321273,1.81332879360073,0.672093658459348,1.01680381427416,0.54782888980155
